"","descriptors"
"820","Long-billed"
"821","Long-crested"
"822","Long-eared"
"823","Long-legged"
"824","Long-tailed"
"825","Long-toed"
"826","Long-winged"
"827","Loten's"
"828","Louisiana"
"829","Lovely"
"830","Lowland"
"831","Lucifer"
"832","Lucy's"
"833","Luzon"
"834","Lyre-tailed"
"835","Maccoa"
"836","MacGillivray's"
"837","Macleay's"
"838","Madagascar"
"839","Madre"
"840","Magellanic"
"841","Magnificent"
"842","Magnolia"
"843","Magpie"
"844","Maguari"
"845","Malabar"
"846","Malachite"
"847","Malagasy"
"848","Malayan"
"849","Malaysian"
"850","Manchurian"
"851","Mandarin"
"852","Maned"
"853","Mangrove"
"854","Manu"
"855","Manx"
"856","Many-banded"
"857","Many-colored"
"858","Many-spotted"
"859","Many-striped"
"860","Marabou"
"861","Maracaibo"
"862","Marbled"
"863","Marcapata"
"864","Mariana"
"865","Mariqua"
"866","Marmora's"
"867","Maroon"
"868","Maroon-bellied"
"869","Maroon-tailed"
"870","Marsh"
"871","Mascarene"
"872","Masked"
"873","May"
"874","Meadow"
"875","Mealy"
"876","Mediterranean"
"877","Meller's"
"878","Melodious"
"879","Menetries's"
"880","Metallic"
"881","Metallic-green"
"882","Meves's"
"883","Mexican"
"884","Meyer's"
"885","Middendorff's"
"886","Middle"
"887","Mikado"
"888","Military"
"889","Milky"
"890","Mississippi"
"891","Mistle"
"892","Mistletoe"
"893","Mitred"
"894","Monk"
"895","Montagu's"
"896","Montane"
"897","Montezuma"
"898","Moorland"
"899","Morelet's"
"900","Morning"
"901","Morrison's"
"902","Mottle-backed"
"903","Mottle-cheeked"
"904","Mottled"
"905","Mountain"
"906","Mourning"
"907","Mouse-colored"
"908","Moussier's"
"909","Moustached"
"910","Mugimaki"
"911","Muisca"
"912","Mulga"
"913","Murs's"
"914","Muscovy"
"915","Musk"
"916","Mute"
"917","Nacunda"
"918","Namaqua"
"919","Nanday"
"920","Nankeen"
"921","Narcissus"
"922","Narrow-billed"
"923","Nashville"
"924","Natal"
"925","Naumann's"
"926","Necklaced"
"927","Nelicourvi"
"928","Nelson's"
"929","Neotropic"
"930","New"
"931","Nicaraguan"
"932","Night"
"933","Nightingale"
"934","Nilgiri"
"935","Noble"
"936","Noisy"
"937","Nordmann's"
"938","North"
"939","Northern"
"940","Northwestern"
"941","Nubian"
"942","Nuttall's"
"943","Nutting's"
"944","Nyanza"
"945","Oahu"
"946","Oak"
"947","Oasis"
"948","Ocellated"
"949","Ochraceous"
"950","Ochre-backed"
"951","Ochre-bellied"
"952","Ochre-breasted"
"953","Ochre-collared"
"954","Ochre-faced"
"955","Ochre-flanked"
"956","Ochre-naped"
"957","Okinawa"
"958","Oleaginous"
"959","Olivaceous"
"960","Olive"
"961","Olive-backed"
"962","Olive-bellied"
"963","Olive-crowned"
"964","Olive-gray"
"965","Olive-green"
"966","Olive-sided"
"967","Olive-spotted"
"968","Olive-throated"
"969","Olive-tree"
"970","Olive-winged"
"971","Olrog's"
"972","One-colored"
"973","Orange"
"974","Orange-backed"
"975","Orange-bellied"
"976","Orange-billed"
"977","Orange-breasted"
"978","Orange-cheeked"
"979","Orange-chinned"
"980","Orange-crowned"
"981","Orange-eared"
"982","Orange-eyed"
"983","Orange-footed"
"984","Orange-fronted"
"985","Orange-headed"
"986","Orange-throated"
"987","Orange-winged"
"988","Orchard"
"989","Oriental"
"990","Orinocan"
"991","Oriole"
"992","Ornate"
"993","Orphean"
"994","Ortolan"
"995","Ovambo"
"996","Owlet"
"997","Pacific"
"998","Pacific-slope"
"999","Paddyfield"
"1000","Painted"
"1001","Palawan"
"1002","Pale"
"1003","Pale-bellied"
"1004","Pale-billed"
"1005","Pale-breasted"
"1006","Pale-browed"
"1007","Pale-crested"
"1008","Pale-edged"
"1009","Pale-eyed"
"1010","Pale-headed"
"1011","Pale-legged"
"1012","Pale-naped"
"1013","Pale-vented"
"1014","Pale-yellow"
"1015","Palestine"
"1016","Pallas's"
"1017","Pallid"
"1018","Palm"
"1019","Palm-nut"
"1020","Pampa"
"1021","Panama"
"1022","Pantanal"
"1023","Paperbark"
"1024","Papuan"
"1025","Paradise"
"1026","Parasitic"
"1027","Parkinson's"
"1028","Parodi's"
"1029","Parrot"
"1030","Parrot-billed"
"1031","Patagonian"
"1032","Peaceful"
"1033","Peach-fronted"
"1034","Pearl"
"1035","Pearl-breasted"
"1036","Pearled"
"1037","Pearly-vented"
"1038","Pechora"
"1039","Pectoral"
"1040","Pelagic"
"1041","Penan"
"1042","Penduline"
"1043","Pere"
"1044","Peregrine"
"1045","Persian"
"1046","Peruvian"
"1047","Pheasant"
"1048","Pheasant-tailed"
"1049","Philadelphia"
"1050","Philippine"
"1051","Picazuro"
"1052","Picui"
"1053","Pied"
"1054","Pied-billed"
"1055","Pied-crested"
"1056","Pigeon"
"1057","Pileated"
"1058","Pin-striped"
"1059","Pin-tailed"
"1060","Pine"
"1061","Pink"
"1062","Pink-backed"
"1063","Pink-eared"
"1064","Pink-footed"
"1065","Pink-headed"
"1066","Pink-necked"
"1067","Pinnated"
"1068","Pinyon"
"1069","Piping"
"1070","Piratic"
"1071","Plain"
"1072","Plain-backed"
"1073","Plain-bellied"
"1074","Plain-breasted"
"1075","Plain-brown"
"1076","Plain-capped"
"1077","Plain-colored"
"1078","Plain-crested"
"1079","Plain-crowned"
"1080","Plain-mantled"
"1081","Plain-winged"
"1082","Plaintive"
"1083","Planalto"
"1084","Plantain"
"1085","Plum-headed"
"1086","Plumbeous"
"1087","Plumbeous-backed"
"1088","Plumed"
"1089","Plush-crested"
"1090","Point-tailed"
"1091","Pomarine"
"1092","Pompadour"
"1093","Pond"
"1094","Powerful"
"1095","Prairie"
"1096","Prothonotary"
"1097","Puff-throated"
"1098","Puna"
"1099","Purple"
"1100","Purple-backed"
"1101","Purple-collared"
"1102","Purple-crested"
"1103","Purple-crowned"
"1104","Purple-rumped"
"1105","Purple-throated"
"1106","Purplish"
"1107","Pygmy"
"1108","Quail"
"1109","Racket-tailed"
"1110","Racquet"
"1111","Radde's"
"1112","Radjah"
"1113","Rainbow"
"1114","Rameron"
"1115","Rattling"
"1116","Red"
"1117","Red-and-green"
"1118","Red-and-white"
"1119","Red-backed"
"1120","Red-bellied"
"1121","Red-billed"
"1122","Red-breasted"
"1123","Red-browed"
"1124","Red-capped"
"1125","Red-cheeked"
"1126","Red-chested"
"1127","Red-cockaded"
"1128","Red-collared"
"1129","Red-cowled"
"1130","Red-crested"
"1131","Red-crowned"
"1132","Red-eared"
"1133","Red-eyed"
"1134","Red-faced"
"1135","Red-fan"
"1136","Red-flanked"
"1137","Red-footed"
"1138","Red-fronted"
"1139","Red-gartered"
"1140","Red-headed"
"1141","Red-keeled"
"1142","Red-kneed"
"1143","Red-knobbed"
"1144","Red-legged"
"1145","Red-lored"
"1146","Red-masked"
"1147","Red-naped"
"1148","Red-necked"
"1149","Red-ruffed"
"1150","Red-rumped"
"1151","Red-shouldered"
"1152","Red-tailed"
"1153","Red-throated"
"1154","Red-vented"
"1155","Red-wattled"
"1156","Red-whiskered"
"1157","Red-winged"
"1158","Reddish"
"1159","Reed"
"1160","Reef"
"1161","Regent"
"1162","Reichenow's"
"1163","Resplendent"
"1164","Restless"
"1165","Rhinoceros"
"1166","Richard's"
"1167","Ridgway's"
"1168","Ring"
"1169","Ring-billed"
"1170","Ring-necked"
"1171","Ring-tailed"
"1172","Ringed"
"1173","River"
"1174","Riverbank"
"1175","Rivoli's"
"1176","Roadside"
"1177","Robin"
"1178","Robust"
"1179","Rock"
"1180","Rose"
"1181","Rose-breasted"
"1182","Rose-crowned"
"1183","Rose-ringed"
"1184","Rose-throated"
"1185","Roseate"
"1186","Ross's"
"1187","Rosy"
"1188","Rosy-billed"
"1189","Rosy-faced"
"1190","Rouget's"
"1191","Rough-legged"
"1192","Rough-winged"
"1193","Royal"
"1194","Ruby-crowned"
"1195","Ruby-throated"
"1196","Ruby-topaz"
"1197","Ruddy"
"1198","Ruddy-breasted"
"1199","Ruddy-capped"
"1200","Ruddy-headed"
"1201","Ruddy-tailed"
"1202","Rufescent"
"1203","Ruffed"
"1204","Rufous"
"1205","Rufous-and-white"
"1206","Rufous-backed"
"1207","Rufous-banded"
"1208","Rufous-bellied"
"1209","Rufous-breasted"
"1210","Rufous-browed"
"1211","Rufous-capped"
"1212","Rufous-chested"
"1213","Rufous-collared"
"1214","Rufous-crested"
"1215","Rufous-crowned"
"1216","Rufous-faced"
"1217","Rufous-fronted"
"1218","Rufous-headed"
"1219","Rufous-legged"
"1220","Rufous-margined"
"1221","Rufous-naped"
"1222","Rufous-necked"
"1223","Rufous-shafted"
"1224","Rufous-sided"
"1225","Rufous-tailed"
"1226","Rufous-throated"
"1227","Rufous-vented"
"1228","Rufous-webbed"
"1229","Rufous-winged"
"1230","Rüppell's"
"1231","Rush"
"1232","Russet"
"1233","Russet-backed"
"1234","Russet-crowned"
"1235","Russet-naped"
"1236","Russet-tailed"
"1237","Russet-throated"
"1238","Russet-winged"
"1239","Rust-and-yellow"
"1240","Rustic"
"1241","Rusty"
"1242","Rusty-backed"
"1243","Rusty-bellied"
"1244","Rusty-belted"
"1245","Rusty-breasted"
"1246","Rusty-collared"
"1247","Rusty-crowned"
"1248","Rusty-fronted"
"1249","Rusty-margined"
"1250","Ryukyu"
"1251","Sabine's"
"1252","Sacred"
"1253","Sad"
"1254","Saffron"
"1255","Saffron-billed"
"1256","Saffron-crested"
"1257","Saffron-crowned"
"1258","Sage"
"1259","Sagebrush"
"1260","Sagra's"
"1261","Sakhalin"
