,Species_Jetz,Species_eBird,Species_BirdLife,Family_eBird,CommonName_eBird,aveUAI,SciName_MUTI,MUTIscore,SciName_UN,Urban,Family_Sci,Family_English,Coastal,Notes_Family,Notes_Species
93,Buteo platypterus,Buteo platypterus,Buteo platypterus,"Accipitridae (Hawks, Eagles, and Kites)",Broad-winged Hawk,1.543754105,Buteo platypterus,-0.733911548,Buteo platypterus,N,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
181,Falco berigora,Falco berigora,Falco berigora,Falconidae (Falcons and Caracaras),Brown Falcon,0.555342499,NA,NA,Falco berigora,N,Falconidae,(Falcons and Caracaras),Yes,,NA
66,Accipiter fasciatus,Accipiter fasciatus,Accipiter fasciatus,"Accipitridae (Hawks, Eagles, and Kites)",Brown Goshawk,1.47249812,NA,NA,Accipiter fasciatus,U,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
157,Phaps elegans,Phaps elegans,Phaps elegans,Columbidae (Pigeons and Doves),Brush Bronzewing,0.317854939,NA,NA,Phaps elegans,N,Columbidae,(Pigeons and Doves),Yes,,coastal heathlands 
162,Cacomantis variolosus,Cacomantis variolosus,Cacomantis variolosus,Cuculidae (Cuckoos),Brush Cuckoo,1.33410118,NA,NA,NA,NA,Cuculidae,(Cuckoos),Yes,,mangroves  
251,Tryngites subruficollis,Calidris subruficollis,Calidris subruficollis,Scolopacidae (Sandpipers and Allies),Buff-breasted Sandpiper,0.429552921,NA,NA,NA,NA,Scolopacidae,(Sandpipers and Allies),Yes,,NA
259,Theristicus caudatus,Theristicus caudatus,Theristicus caudatus,Threskiornithidae (Ibises and Spoonbills),Buff-necked Ibis,1.481123366,NA,NA,NA,NA,Threskiornithidae,(Ibises and Spoonbills),Yes,some in coastal lagoons,NA
121,Burhinus grallarius,Burhinus grallarius,Burhinus grallarius,Burhinidae (Thick-knees),Bush Thick-knee,1.848885256,NA,NA,Burhinus grallarius,U,Burhinidae,(Thick-knees),Yes,,
128,Gymnogyps californianus,Gymnogyps californianus,Gymnogyps californianus,Cathartidae (New World Vultures),California Condor,NA,Gymnogyps californianus,-2.012193751,NA,NA,Cathartidae,(New World Vultures),Yes,,NA
158,Aphelocoma californica,Aphelocoma californica,Aphelocoma californica,"Corvidae (Crows, Jays, and Magpies)",California Scrub-Jay,2.035738105,Aphelocoma californica,2.627172345,NA,NA,Corvidae,"(Crows, Jays, and Magpies)",Yes,,coastal scrub and mangroves
239,Pycnonotus capensis,Pycnonotus capensis,Pycnonotus capensis,Pycnonotidae (Bulbuls),Cape Bulbul,1.46583281,NA,NA,NA,NA,Pycnonotidae,(Bulbuls),Yes,,coastal scrub
187,Serinus canicollis,Serinus canicollis,Serinus canicollis,"Fringillidae (Finches, Euphonias, and Allies)",Cape Canary,1.53779545,NA,NA,NA,NA,Fringillidae,"(Finches, Euphonias, and Allies)",Yes,,beaches
209,Sphenoeacus afer,Sphenoeacus afer,Sphenoeacus afer,Macrosphenidae (African Warblers),Cape Grassbird,0.753312483,NA,NA,NA,NA,Macrosphenidae,(African Warblers),Yes,NA,coastal macchia scrub 
222,Dendroica tigrina,Setophaga tigrina,Setophaga tigrina,Parulidae (New World Warblers),Cape May Warbler,2.09664662,Setophaga tigrina,-1.189080387,Dendroica tigrina,N,Parulidae,(New World Warblers),Yes,,mangroves and coastal vegetation
217,Cossypha caffra,Cossypha caffra,Dessonornis caffer,Muscicapidae (Old World Flycatchers),Cape Robin-Chat,1.790624054,NA,NA,NA,NA,Muscicapidae,(Old World Flycatchers),Yes,,forages in intertidal zone
219,Monticola rupestris,Monticola rupestris,Monticola rupestris,Muscicapidae (Old World Flycatchers),Cape Rock-Thrush,0.177002194,NA,NA,NA,NA,Muscicapidae,(Old World Flycatchers),Yes,,forages in intertidal zone
186,Serinus totta,Crithagra totta,Crithagra totta,"Fringillidae (Finches, Euphonias, and Allies)",Cape Siskin,0.395187997,NA,NA,NA,NA,Fringillidae,"(Finches, Euphonias, and Allies)",Yes,,coastal scrub
229,Passer melanurus,Passer melanurus,Passer melanurus,Passeridae (Old World Sparrows),Cape Sparrow,2.132729576,NA,NA,NA,NA,Passeridae,(Old World Sparrows),Yes,,coastal cliffs
274,Zosterops pallidus,Zosterops virens,Zosterops virens,"Zosteropidae (White-eyes, Yuhinas, and Allies)",Cape White-eye,2.150686707,NA,NA,NA,NA,Zosteropidae,"(White-eyes, Yuhinas, and Allies)",Yes,,coastal habitats
197,Progne dominicensis,Progne dominicensis,Progne dominicensis,Hirundinidae (Swallows),Caribbean Martin,2.687129106,NA,NA,NA,NA,Hirundinidae,(Swallows),Yes,,sea coasts and beaches
160,Corvus corone,Corvus corone,Corvus corone,"Corvidae (Crows, Jays, and Magpies)",Carrion Crow,1.795451307,NA,NA,NA,NA,Corvidae,"(Crows, Jays, and Magpies)",Yes,,coastal cliffs and estuarine flats
27,Nisaetus cirrhatus,Nisaetus cirrhatus,Nisaetus cirrhatus,"Accipitridae (Hawks, Eagles, and Kites)",Changeable Hawk-Eagle,1.084974144,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
123,Calcarius ornatus,Calcarius ornatus,Calcarius ornatus,Calcariidae (Longspurs and Snow Buntings),Chestnut-collared Longspur,0.134246524,Calcarius ornatus,-2.035067957,NA,NA,Calcariidae,(Longspurs and Snow Buntings),Yes,beaches / concentrate near coastlines,NA
64,Accipiter soloensis,Accipiter soloensis,Accipiter soloensis,"Accipitridae (Hawks, Eagles, and Kites)",Chinese Sparrowhawk,2.137403461,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
54,Circus cinereus,Circus cinereus,Circus cinereus,"Accipitridae (Hawks, Eagles, and Kites)",Cinereous Harrier,0.688014712,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
18,Aegypius monachus,Aegypius monachus,Aegypius monachus,"Accipitridae (Hawks, Eagles, and Kites)",Cinereous Vulture,1.417262379,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
188,Geositta peruviana,Geositta peruviana,Geositta peruviana,Furnariidae (Ovenbirds and Woodcreepers),Coastal Miner,0.470396275,NA,NA,NA,NA,Furnariidae,(Ovenbirds and Woodcreepers),Yes,,coastal plains 
238,Trichoglossus haematodus,Trichoglossus haematodus,Trichoglossus haematodus,Psittaculidae (Old World Parrots),Coconut Lorikeet,3.491176597,NA,NA,NA,NA,Psittaculidae,(Old World Parrots),Yes,NA,mangroves
184,Micrastur semitorquatus,Micrastur semitorquatus,Micrastur semitorquatus,Falconidae (Falcons and Caracaras),Collared Forest-Falcon,0.523555873,NA,NA,NA,NA,Falconidae,(Falcons and Caracaras),Yes,,Mangroves
69,Accipiter cirrocephalus,Accipiter cirrocephalus,Accipiter cirrocephalus,"Accipitridae (Hawks, Eagles, and Kites)",Collared Sparrowhawk,1.43878721,NA,NA,Accipiter cirrocephalus,U,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
100,Buteo buteo,Buteo buteo,Buteo buteo,"Accipitridae (Hawks, Eagles, and Kites)",Common Buzzard,1.225068333,NA,NA,Buteo buteo,U,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
203,Delichon urbicum,Delichon urbicum,Delichon urbicum,Hirundinidae (Swallows),Common House-Martin,1.746901077,NA,NA,NA,NA,Hirundinidae,(Swallows),Yes,,coastal cliffs  
109,Acrocephalus scirpaceus,Acrocephalus scirpaceus,Acrocephalus scirpaceus,Acrocephalidae (Reed Warblers and Allies),Common Reed Warbler,1.37268812,NA,NA,NA,NA,Acrocephalidae,(Reed Warblers and Allies),Yes,mention of marsh --> did not explicitely say coastal… ,breed only in coastal mangroves
148,Charadrius hiaticula,Charadrius hiaticula,Charadrius hiaticula,Charadriidae (Plovers and Lapwings),Common Ringed Plover,1.695980437,NA,NA,Charadrius hiaticula,U,Charadriidae,(Plovers and Lapwings),Yes,,NA
74,Accipiter cooperii,Accipiter cooperii,Accipiter cooperii,"Accipitridae (Hawks, Eagles, and Kites)",Cooper's Hawk,2.222871741,Accipiter cooperii,2.61478251,Accipiter cooperii,U,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
79,Geranospiza caerulescens,Geranospiza caerulescens,Geranospiza caerulescens,"Accipitridae (Hawks, Eagles, and Kites)",Crane Hawk,0.961202586,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
165,Caracara plancus,Caracara plancus,Caracara plancus,Falconidae (Falcons and Caracaras),Crested Caracara,1.571472057,NA,NA,NA,NA,Falconidae,(Falcons and Caracaras),Yes,,NA
60,Accipiter trivirgatus,Accipiter trivirgatus,Accipiter trivirgatus,"Accipitridae (Hawks, Eagles, and Kites)",Crested Goshawk,2.85972743,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
25,Stephanoaetus coronatus,Stephanoaetus coronatus,Stephanoaetus coronatus,"Accipitridae (Hawks, Eagles, and Kites)",Crowned Eagle,1.372427906,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
140,Vanellus coronatus,Vanellus coronatus,Vanellus coronatus,Charadriidae (Plovers and Lapwings),Crowned Lapwing,1.490592795,NA,NA,NA,NA,Charadriidae,(Plovers and Lapwings),Yes,,NA
190,Limnornis curvirostris,Limnornis curvirostris,Limnornis curvirostris,Furnariidae (Ovenbirds and Woodcreepers),Curve-billed Reedhaunter,2.278291759,NA,NA,NA,NA,Furnariidae,(Ovenbirds and Woodcreepers),Yes,,coastal lagoons
119,Burhinus bistriatus,Burhinus bistriatus,Burhinus bistriatus,Burhinidae (Thick-knees),Double-striped Thick-knee,0.576115441,NA,NA,NA,NA,Burhinidae,(Thick-knees),Yes,,NA
45,Harpagus bidentatus,Harpagus bidentatus,Harpagus bidentatus,"Accipitridae (Hawks, Eagles, and Kites)",Double-toothed Kite,0.538923706,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
101,Buteo buteo,Buteo japonicus,Buteo japonicus,"Accipitridae (Hawks, Eagles, and Kites)",Eastern Buzzard,2.154047552,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
256,Sylvia cantillans,Curruca cantillans,Sylvia cantillans,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Eastern Subalpine Warbler,1.468810228,NA,NA,Sylvia cantillans,N,Sylviidae,"(Sylviid Warblers, Parrotbills, and Allies)",Yes,,coastal mangroves
22,Gyps fulvus,Gyps fulvus,Gyps fulvus,"Accipitridae (Hawks, Eagles, and Kites)",Eurasian Griffon,0.925677897,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
177,Falco subbuteo,Falco subbuteo,Falco subbuteo,Falconidae (Falcons and Caracaras),Eurasian Hobby,1.346661295,NA,NA,NA,NA,Falconidae,(Falcons and Caracaras),Yes,,NA
169,Falco tinnunculus,Falco tinnunculus,Falco tinnunculus,Falconidae (Falcons and Caracaras),Eurasian Kestrel,1.675649945,NA,NA,Falco tinnunculus,U,Falconidae,(Falcons and Caracaras),Yes,,NA
71,Accipiter nisus,Accipiter nisus,Accipiter nisus,"Accipitridae (Hawks, Eagles, and Kites)",Eurasian Sparrowhawk,1.854832984,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
116,Burhinus oedicnemus,Burhinus oedicnemus,Burhinus oedicnemus,Burhinidae (Thick-knees),Eurasian Thick-knee,1.394750992,NA,NA,Burhinus oedicnemus,N,Burhinidae,(Thick-knees),Yes,,NA
135,Pluvialis apricaria,Pluvialis apricaria,Pluvialis apricaria,Charadriidae (Plovers and Lapwings),European Golden-Plover,1.26727354,NA,NA,NA,NA,Charadriidae,(Plovers and Lapwings),Yes,,NA
99,Buteo regalis,Buteo regalis,Buteo regalis,"Accipitridae (Hawks, Eagles, and Kites)",Ferruginous Hawk,0.863435187,Buteo regalis,-1.688411843,Buteo regalis,N,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
159,Corvus ossifragus,Corvus ossifragus,Corvus ossifragus,"Corvidae (Crows, Jays, and Magpies)",Fish Crow,2.219179631,Corvus ossifragus,1.876350835,NA,NA,Corvidae,"(Crows, Jays, and Magpies)",Yes,,"coast, beaches, estuaries"
39,Aquila chrysaetos,Aquila chrysaetos,Aquila chrysaetos,"Accipitridae (Hawks, Eagles, and Kites)",Golden Eagle,0.833531358,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
65,Accipiter novaehollandiae,Accipiter novaehollandiae,Accipiter novaehollandiae,"Accipitridae (Hawks, Eagles, and Kites)",Gray Goshawk,1.31573487,NA,NA,Accipiter novaehollandiae,N,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
89,Buteo nitidus,Buteo plagiatus,Buteo plagiatus,"Accipitridae (Hawks, Eagles, and Kites)",Gray Hawk,0.944008628,Buteo plagiatus,-0.792688966,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
87,Leucopternis occidentalis,Pseudastur occidentalis,Pseudastur occidentalis,"Accipitridae (Hawks, Eagles, and Kites)",Gray-backed Hawk,0.870689572,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
49,Butastur indicus,Butastur indicus,Butastur indicus,"Accipitridae (Hawks, Eagles, and Kites)",Gray-faced Buzzard,1.667152406,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
12,Leptodon cayanensis,Leptodon cayanensis,Leptodon cayanensis,"Accipitridae (Hawks, Eagles, and Kites)",Gray-headed Kite,0.969572046,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
142,Vanellus cinereus,Vanellus cinereus,Vanellus cinereus,Charadriidae (Plovers and Lapwings),Gray-headed Lapwing,2.096251173,NA,NA,NA,NA,Charadriidae,(Plovers and Lapwings),Yes,,NA
90,Buteo nitidus,Buteo nitidus,Buteo nitidus,"Accipitridae (Hawks, Eagles, and Kites)",Gray-lined Hawk,1.822131315,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
