Species,CommonNameBL,sumDiffPC1,sumDiffPC2,FemalePC1sum,MalePC1sum,FemalePC2sum,MalePC2sum,Species
Burhinus_grallarius,Bush Thick-knee,5.723939,0.924499,12.0076,17.7315,0.536733555,1.461232139,Burhinus_grallarius
Buteo_buteo,Common Buzzard,1.695999,-0.31485,-13.6303,-11.9343,0.495690408,0.180840177,Buteo_buteo
Buteo_jamaicensis,Red-tailed Hawk,-2.193039,0.264389,10.7398,8.5467,0.115054485,0.379443299,Buteo_jamaicensis
Buteo_lagopus,Rough-legged Hawk,2.796518,0.437983,-9.1195,-6.323,1.333229818,1.771212656,Buteo_lagopus
Buteo_magnirostris,Roadside Hawk,-1.848275,-0.504831,-4.5793,-6.4275,1.48845661,0.983625231,Buteo_magnirostris
Buteo_nitidus,Grey Hawk,2.584562,-0.017711,-3.2202,-0.6356,1.845535277,1.8278241,Buteo_nitidus
Buteo_platypterus,Broad-winged Hawk,-0.052608,-0.175229,-3.1606,-3.2132,0.086389439,-0.088839627,Buteo_platypterus
Buthraupis_montana,Hooded Mountain-tanager,-4.657281,-2.478711,8.2189,3.5616,12.93315027,10.45443895,Buthraupis_montana
Cacatua_galerita,Sulphur-crested Cockatoo,2.504893,-2.096678,88.552,91.0569,3.450918927,1.35424142,Cacatua_galerita
Cacicus_cela,Yellow-rumped Cacique,-8.696169,3.392519,-10.2777,-18.9738,-2.658901285,0.733617829,Cacicus_cela
Cairina_moschata,Muscovy Duck,-5.60845,1.353009,-9.8099,-15.4183,0.768957862,2.121967103,Cairina_moschata
Calamanthus_campestris,Rufous Fieldwren,0.029726,1.132013,2.7006,2.7303,-5.06792239,-3.935909388,Calamanthus_campestris
Calamospiza_melanocorys,Lark Bunting,-26.586066,4.18492,7.523,-19.0631,-1.976251153,2.208668518,Calamospiza_melanocorys
Calandrella_cinerea,Red-capped Lark,2.465903,-1.087988,4.1348,6.6007,-2.323355112,-3.411343009,Calandrella_cinerea
Calcarius_lapponicus,Lapland Longspur,-4.860028,2.470815,-1.5732,-6.4332,-2.308067387,0.162747582,Calcarius_lapponicus
Calcarius_mccownii,McCown's Longspur,-8.617157,1.467226,3.1625,-5.4546,-2.67012093,-1.202894968,Calcarius_mccownii
Calcarius_ornatus,Chestnut-collared Longspur,-12.160606,2.836544,-1.7343,-13.8949,-4.280333477,-1.443788994,Calcarius_ornatus
Calcarius_pictus,Smith's Longspur,1.751385,0.791255,0.6024,2.3538,-4.294516975,-3.503262352,Calcarius_pictus
Calidris_acuminata,Sharp-tailed Sandpiper,0.709956,0.516833,4.9526,5.6625,-1.753362019,-1.236529036,Calidris_acuminata
Calidris_alba,Sanderling,9.265232,1.0868,6.4947,15.76,-1.052135105,0.03466481,Calidris_alba
Calidris_alpina,Dunlin,0.647433,0.718054,4.098,4.7454,-0.178028682,0.540025546,Calidris_alpina
Calidris_bairdii,Baird's Sandpiper,-3.981211,-0.650223,15.5721,11.5909,0.145946053,-0.504277087,Calidris_bairdii
Calidris_canutus,Red Knot,-1.592368,0.492979,5.0715,3.4792,-3.574608478,-3.08162949,Calidris_canutus
Calidris_fuscicollis,White-rumped Sandpiper,4.782672,-0.697555,9.8299,14.6126,1.490490705,0.792935535,Calidris_fuscicollis
Calidris_himantopus,Stilt Sandpiper,3.37205,1.199327,2.9219,6.2939,-0.511869947,0.687457479,Calidris_himantopus
Calidris_maritima,Purple Sandpiper,-2.618222,0.344437,-0.1538,-2.772,0.978470467,1.322908015,Calidris_maritima
Calidris_mauri,Western Sandpiper,-5.628099,-1.000757,14.5918,8.9637,0.221609115,-0.779147442,Calidris_mauri
