Species,Urban,Domi,Mini,Body,Veget
Rallus longirostris,N,2.76,0.86,293,2
Regulus calendula,N,3.76,2.02,6.5,3.5
Regulus ignicapilla,U,7.53,6.07,5.6,4
Regulus regulus,U,7.3,4.61,5.6,4
Regulus satrapa,N,7.32,5.68,6.3,3.5
Rhipidura fuliginosa,U,5.55,4.04,7.6,3
Rhipidura leucophrys,U,4.13,1.91,34.4,2
Rhipidura phasiana,N,5.84,4.2,6.9,3
Saxicola rubetra,N,4.15,2.32,16.6,2
Saxicola torquatus,U,4.84,2.7,15.4,2
Sayornis nigricans,U,5.25,2.41,19.5,1
Sayornis phoebe,U,4.51,3.12,19.7,3
Sayornis saya,N,2.85,2.32,20.9,1
Selasphorus platycercus,N,6.37,1.29,3.5,4
Selasphorus rufus,U,6.97,0.43,3.5,3
Selasphorus sasin,N,2.23,1.03,3.3,2.5
Sericornis beccarii,N,4.09,2.93,13.3,4
Sericornis citreogularis,N,4.61,2.89,18.3,4
Sericornis frontalis,U,5.8,4,14.1,3
Sericornis keri,N,5.82,2.15,12,4
Sericornis magnirostra,N,6.23,4.44,9.8,4
Serinus canaria,U,3.7,1.29,24.3,2
Carduelis citrinella,U,4.56,1.98,12,3
Serinus pusillus,N,4.3,2.67,11.6,2.5
Serinus serinus,U,5.94,1.83,11.2,3
Serinus syriacus,N,3.87,1.89,11.7,2.5
Sialia currucoides,N,2.06,1.55,29.6,2
Sialia mexicana,U,2.67,1.72,25.8,2.5
Sialia sialis,U,2.41,1.8,27.5,3
Sitta canadensis,N,2.54,1.46,9.8,4
Sitta europaea,U,3.18,2.26,20,3
Sitta krueperi,N,3.99,1.68,12.4,4
Sitta neumayer,N,3.22,2.05,26.5,1
Sitta tephronota,N,2.58,1.46,35.2,2
Sitta whiteheadi,N,3.01,2.61,11.8,3
Spizella arborea,N,4.25,3.52,18.6,1.5
Spizella atrogularis,U,5.28,2.13,11.3,2
Spizella breweri,N,4.27,3.02,10.9,2
Spizella passerina,U,5.5,3.59,12.2,3
Spizella pusilla,N,3.38,2.94,12.5,2.5
Sterna albifrons,U,4.22,1.07,57,1
Sterna antillarum,U,3.31,0.99,45,1
Sterna bengalensis,N,2.49,1.72,209,1
Sterna bergii,N,1.89,0.51,328,1
Turdus torquatus,N,2.95,1.99,109,2
Turdus viscivorus,U,2.65,1.83,112,3
Tyto alba,U,1.77,1.17,416,2
Tyto capensis,N,2.32,0.6,419,2
Tyto novaehollandiae,N,3.1,1.46,632,3
Tyto tenebricosa,N,1.63,1.2,492,4
Vanellus indicus,U,2.54,1.2,181,1
Vanellus miles,U,2.75,0.77,387,1
Vanellus spinosus,N,2.92,1.24,192,1
Vanellus tricolor,U,2.75,0.94,184,1.5
Vanellus vanellus,U,1.85,0.53,211,1
Vermivora celata,N,5.48,3.58,9.2,3
Vermivora chrysoptera,U,6.57,5.54,8.9,3
Vermivora crissalis,N,4.96,4.01,9.3,3
Vermivora luciae,N,5.33,3.58,6.6,3
Vermivora peregrina,N,7.27,3.96,8.9,3
Vermivora pinus,N,7.14,5.65,8.9,2.5
Vermivora ruficapilla,N,5.53,3.22,8.3,3
Vermivora virginiae,N,4.9,3.15,8.2,4
Vireo altiloquus,U,3.2,2.01,19,3
Vireo atricapilla,N,4.44,1.98,9.2,2
Vireo bellii,N,3.11,1.66,8.5,2
Vireo flavifrons,U,3.04,2.21,18,3
Vireo gilvus,U,3.66,2.28,12.7,3.5
Vireo griseus,N,3.3,1.79,11.4,2.5
Vireo huttoni,N,3.93,2.72,11.3,4
Vireo olivaceus,U,2.99,2.2,16.2,4
Vireo philadelphicus,N,3.65,2.46,11.5,3
Vireo plumbeus,N,3.04,1.89,14.7,3
Vireo solitarius,N,4.08,2.62,15.3,4
Vireo vicinior,N,2.85,1.88,12.8,2
Zonotrichia albicollis,N,4.53,3.7,24.4,3
Zonotrichia atricapilla,N,3.76,2.74,31.7,2
Zonotrichia leucophrys,U,4.19,3.3,28.1,2
Zonotrichia querula,N,3.58,3.08,37.4,2.5
Zosterops citrinella,N,3.44,1.81,NA,3
Zosterops lateralis,U,4.27,3.08,12.7,3
