scinam,genus_species,genus,species,peak_frequency,perc_forest_cover,n_ind,family,body_mass,body_mass_M,body_mass_F,SSD_bm,male_wing_avg,female_wing_avg,SSD,habitat_type
alethe,Alethe_choloensis,Alethe,choloensis,2239.45,92.38888889,2,turdidae,41.3,,,,97,96.7,0.00134526,2
alethe,Alethe_diademata,Alethe,diademata,1550.4,100,5,turdidae,31.2,32.6,29.8,0.039001336,93.2,86.6,0.03189802,2
alethe,Alethe_fuelleborni,Alethe,fuelleborni,2239.5,78.77777778,5,turdidae,52,,,,107.9,104.6,0.01348976,2
alethe,Alethe_poliocephala,Alethe,poliocephala,2584,96.375,3,turdidae,32.7,,,,84.4,82.9,0.007787916,2
alethe,Alethe_poliophrys,Alethe,poliophrys,2670.1,97.875,2,turdidae,35.2,,,,100.45,95.35,0.022629244,2
alophoixus,Alophoixus_affinis,Alophoixus,affinis,3100.75,98.1875,4,pycnonotidae,40.5,,,,,,,2
alophoixus,Alophoixus_bres,Alophoixus,bres,3273.05,100,4,pycnonotidae,36.3,,,,,,,2
alophoixus,Alophoixus_finschii,Alophoixus,finschii,5684.8,92.375,1,pycnonotidae,24.2,,,,,,,2
alophoixus,Alophoixus_flaveolus,Alophoixus,flaveolus,2239.5,93.66666667,3,pycnonotidae,45.65,,,,104,101.5,0.010567297,2
alophoixus,Alophoixus_ochraceus,Alophoixus,ochraceus,3273,100,5,pycnonotidae,41.5,39.6,43.4,-0.039794544,,,,2
alophoixus,Alophoixus_pallidus,Alophoixus,pallidus,3100.75,97.07142857,4,pycnonotidae,47,,,,,,,2
alophoixus,Alophoixus_phaeocephalus,Alophoixus,phaeocephalus,3273,100,5,pycnonotidae,32,,,,,,,2
alopochelidon,Alopochelidon_fucata,Alopochelidon,fucata,3703.7,6.833333333,4,hirundinidae,14,,,,,,,0
amadina,Amadina_erythrocephala,Amadina,erythrocephala,3617.6,0.625,1,estrildidae,22.7,,,,73.55,72.4,0.006844111,1
amalocichla,Amalocichla_incerta,Amalocichla,incerta,3186.9,79,4,petroicidae,29.2,30.5,27.9,0.038695636,,,,2
amalocichla,Amalocichla_sclateriana,Amalocichla,sclateriana,2239.5,100,5,petroicidae,54.7,,,,,,,2
amandava,Amandava_amandava,Amandava,amandava,5168,33.1875,4,estrildidae,9,,,,47.88,47.36,0.004742448,0
amaurocichla,Amaurocichla_bocagei,Amaurocichla,bocagei,7407.45,100,2,sylviidae,,,,,66.5,64.5,0.013261931,2
amaurospiza,Amaurospiza_concolor,Amaurospiza,concolor,5340.2,73,5,cardinalidae,13.1,,,,,,,2
amaurospiza,Amaurospiza_moesta,Amaurospiza,moesta,4478.9,98.625,5,cardinalidae,13.6,,,,,,,2
amblycercus,Amblycercus_holosericeus,Amblycercus,holosericeus,1722.7,86,5,icteridae,71.76666667,86,75.5,0.0565515,96.47,89.4,0.03305476,1
amblyornis,Amblyornis_flavifrons,Amblyornis,flavifrons,2067.2,89.75,1,ptilonorhynchidae,116,,,,,,,2
amblyornis,Amblyornis_inornata,Amblyornis,inornata,1808.8,100,2,ptilonorhynchidae,124,,,,133.5,131,0.00820997,2
amblyornis,Amblyornis_macgregoriae,Amblyornis,macgregoriae,3445.3,100,1,ptilonorhynchidae,117.5,115,120,-0.018483406,134.5,128.5,0.019819157,2
amblyospiza,Amblyospiza_albifrons,Amblyospiza,albifrons,4823.4,30.77777778,5,ploceidae,41.95,45.83333333,38.06666667,0.080636594,93.14,84.93,0.04007511,2
