species_code,UrbanIndex1,UrbanIndex2,UrbanIndex3,UrbanIndex4,UrbanIndex5,UrbanIndex6,PC1_scores,mean_br_occur,scientific_name,order,family,genus,common_name,test_spp,br_rng_extent,breeding_start_dt,breeding_end_dt,year_round_start_dt,year_round_end_dt,run_name
chclon,-2,-2,0,0.000989358,0,0.037788772,-2.035067957,NA,Calcarius ornatus,Passeriformes,Calcariidae,Calcarius,Chestnut-collared Longspur,no,100,5/17/2018,8/17/2018,NA,NA,chclon-ERD2018-EBIRD_SCIENCE-20191112-fb7a658d
mcclon,-1.999229947,-2,3.291791658,0.003548974,0,0.165840896,-1.827146694,NA,Rhynchophanes mccownii,Passeriformes,Calcariidae,Rhynchophanes,Thick-billed Longspur,no,100,5/3/2018,7/20/2018,NA,NA,mcclon-ERD2018-EBIRD_SCIENCE-20191113-bb1aa39c
ruwspa,-0.931359018,-1.080165451,5.927718524,0.055111603,0.077263703,0.500982323,-0.518588633,NA,Peucaea carpalis,Passeriformes,Passerellidae,Peucaea,Rufous-winged Sparrow,no,29,NA,NA,1/4/2018,12/28/2018,ruwspa-ERD2018-EBIRD_SCIENCE-20191112-1c828f88
casspa,-1.971567603,-2,4.620228213,0.023642951,4.16E-05,0.275656843,-1.629471422,NA,Peucaea cassinii,Passeriformes,Passerellidae,Peucaea,Cassin's Sparrow,no,75,5/31/2018,7/20/2018,NA,NA,casspa-ERD2018-EBIRD_SCIENCE-20191108-7e3a0412
bacspa,-1.935156455,-2,5.408255854,0.050554698,0.014898653,0.197487444,-1.729947459,NA,Peucaea aestivalis,Passeriformes,Passerellidae,Peucaea,Bachman's Sparrow,no,99,NA,NA,1/4/2018,12/28/2018,bacspa-ERD2018-EBIRD_SCIENCE-20191112-caa92fa1
graspa,-1.728217534,-1.876034361,6.252756778,0.078821657,0.009036972,0.504139323,-1.084945262,NA,Ammodramus savannarum,Passeriformes,Passerellidae,Ammodramus,Grasshopper Sparrow,no,99,5/31/2018,8/10/2018,NA,NA,graspa-ERD2018-EBIRD_SCIENCE-20191028-d7945380
bktspa,-1.422423222,-1.257461357,5.652379997,0.017986639,0.002525339,0.322160192,-1.1603431,NA,Amphispiza bilineata,Passeriformes,Passerellidae,Amphispiza,Black-throated Sparrow,no,65,5/25/2018,7/27/2018,NA,NA,bktspa-ERD2018-EBIRD_SCIENCE-20191107-e2c49e8a
larspa,-1.689510544,-1.789880343,5.91932631,0.04518905,0.001432977,0.456965872,-1.133579651,NA,Chondestes grammacus,Passeriformes,Passerellidae,Chondestes,Lark Sparrow,no,92,5/24/2018,7/13/2018,NA,NA,larspa-ERD2018-EBIRD_SCIENCE-20191105-0f0d0f36
larbun,-1.926235146,-2,5.702536842,0.005758541,0.002667654,0.186225406,-1.741787387,NA,Calamospiza melanocorys,Passeriformes,Passerellidae,Calamospiza,Lark Bunting,no,100,5/31/2018,7/13/2018,NA,NA,larbun-ERD2018-EBIRD_SCIENCE-20191028-b6c2bef7
chispa,0.087904544,0.039761113,6.507240487,0.078001548,0.085403619,1.003234144,1.025730939,NA,Spizella passerina,Passeriformes,Passerellidae,Spizella,Chipping Sparrow,no,92,6/7/2018,7/6/2018,NA,NA,chispa-ERD2018-EBIRD_SCIENCE-20191102-39a8ae6c
clcspa,-1.545926074,-1.749882141,5.295517212,0.049051467,0.026764311,0.612233807,-0.779165083,NA,Spizella pallida,Passeriformes,Passerellidae,Spizella,Clay-colored Sparrow,no,100,6/14/2018,7/27/2018,NA,NA,clcspa-ERD2018-EBIRD_SCIENCE-20191109-0eb94e59
bkcspa,-1.416829685,-2,6.600376728,0.009136476,0.005234662,0.112324211,-1.496142374,NA,Spizella atrogularis,Passeriformes,Passerellidae,Spizella,Black-chinned Sparrow,no,56,5/10/2018,8/10/2018,NA,NA,bkcspa-ERD2018-EBIRD_SCIENCE-20191112-2e6ef9e2
